epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,328.909,0.78939,0.59152,1.10067,0.96245,0.88235,0.97713,0.73057,0.87848,0.57968,1.19816,0.0017294,0.0017294,0.0017294
43,335.113,0.88902,0.66837,1.16988,0.91613,0.91176,0.95299,0.70287,0.90749,0.60479,1.21388,0.0017228,0.0017228,0.0017228
44,341.086,0.8422,0.59824,1.16053,0.96853,0.90527,0.97849,0.72927,0.89325,0.62673,1.16166,0.0017162,0.0017162,0.0017162
45,350.251,0.81834,0.61256,1.11768,0.89794,0.90578,0.95564,0.71898,0.91495,0.55808,1.20335,0.0017096,0.0017096,0.0017096
46,357.42,0.82727,0.63949,1.11224,0.90224,0.98529,0.97662,0.69237,0.96908,0.51028,1.25291,0.001703,0.001703,0.001703
47,365.323,0.78388,0.62854,1.08828,0.98427,0.92008,0.98287,0.6984,0.94763,0.50428,1.2148,0.0016964,0.0016964,0.0016964
48,372.575,0.80309,0.6077,1.10014,0.86673,0.95642,0.96434,0.67864,0.99943,0.5648,1.25506,0.0016898,0.0016898,0.0016898
49,378.325,0.82278,0.62915,1.12526,0.9347,0.91176,0.96192,0.6971,0.9717,0.50088,1.28631,0.0016832,0.0016832,0.0016832
50,387.628,0.79355,0.63131,1.11756,0.93648,0.94118,0.97194,0.71482,0.94996,0.48692,1.22678,0.0016766,0.0016766,0.0016766
51,398.199,0.84116,0.61623,1.09925,0.97619,0.91176,0.96442,0.72366,0.9178,0.47219,1.22417,0.00167,0.00167,0.00167
52,406.73,0.79896,0.61066,1.08983,0.96919,0.92513,0.94676,0.69981,1.00448,0.43726,1.30124,0.0016634,0.0016634,0.0016634
53,413.525,0.88162,0.69612,1.1731,0.85393,0.94574,0.95556,0.66134,1.06225,0.58337,1.32306,0.0016568,0.0016568,0.0016568
54,419.324,0.80632,0.64578,1.11862,0.93782,0.88723,0.95418,0.71777,0.92782,0.6165,1.19951,0.0016502,0.0016502,0.0016502
55,428.894,0.80846,0.6099,1.10296,0.94673,0.88235,0.9396,0.70943,0.92165,0.56931,1.20232,0.0016436,0.0016436,0.0016436
56,437.319,0.82252,0.59176,1.10092,0.92017,0.91176,0.94652,0.69421,0.91354,0.57819,1.20412,0.001637,0.001637,0.001637
57,446.166,0.81287,0.64036,1.09387,0.98436,0.92538,0.97564,0.70572,0.90679,0.52525,1.1927,0.0016304,0.0016304,0.0016304
58,452.921,0.75408,0.61211,1.0596,0.96979,0.97059,0.97992,0.74461,0.91227,0.44149,1.22133,0.0016238,0.0016238,0.0016238
59,458.7,0.81419,0.63089,1.09365,0.9809,0.97059,0.97995,0.72649,0.91196,0.42586,1.254,0.0016172,0.0016172,0.0016172
60,469.192,0.76114,0.62271,1.08097,0.94195,0.95445,0.9612,0.71464,0.86454,0.46488,1.20764,0.0016106,0.0016106,0.0016106
61,475.011,0.79854,0.60491,1.11223,0.94638,0.97059,0.97079,0.72654,0.86027,0.44567,1.19142,0.001604,0.001604,0.001604
62,481.844,0.82148,0.62013,1.12055,0.92612,0.85294,0.94752,0.69517,0.97683,0.58217,1.24197,0.0015974,0.0015974,0.0015974
63,490.396,0.75675,0.57459,1.06384,0.90175,0.94481,0.94392,0.68976,0.98768,0.53485,1.28319,0.0015908,0.0015908,0.0015908
64,496.113,0.73459,0.54413,1.07544,0.96758,0.87793,0.94093,0.71146,0.93833,0.54712,1.25037,0.0015842,0.0015842,0.0015842
65,505.477,0.71295,0.50844,1.08426,0.91927,0.92647,0.94352,0.72834,0.88735,0.52129,1.20811,0.0015776,0.0015776,0.0015776
66,512.446,0.75597,0.57243,1.07535,0.93208,0.89706,0.93578,0.67691,1.04019,0.56175,1.27942,0.001571,0.001571,0.001571
67,518.132,0.71255,0.54337,1.0621,0.91898,0.88235,0.95416,0.67112,1.00104,0.62261,1.25113,0.0015644,0.0015644,0.0015644
68,527.547,0.73981,0.52534,1.07667,0.90527,0.89706,0.95596,0.69741,1.03213,0.53451,1.31171,0.0015578,0.0015578,0.0015578
69,533.858,0.73665,0.56989,1.07696,0.90898,0.89706,0.94136,0.69939,0.90993,0.5288,1.23278,0.0015512,0.0015512,0.0015512
70,542.54,0.77282,0.55736,1.08846,0.8959,0.91176,0.94056,0.71504,0.91912,0.51434,1.21929,0.0015446,0.0015446,0.0015446
71,550.092,0.76967,0.53955,1.08604,0.95527,0.85294,0.95718,0.68169,1.00328,0.52739,1.30156,0.001538,0.001538,0.001538
72,555.899,0.816,0.56331,1.09055,0.89829,0.91176,0.9477,0.70448,0.93319,0.52728,1.23031,0.0015314,0.0015314,0.0015314
73,564.683,0.764,0.53833,1.07587,0.95164,0.86815,0.94407,0.71447,0.95616,0.49905,1.28772,0.0015248,0.0015248,0.0015248
74,572.583,0.72495,0.50842,1.04874,0.91287,0.92443,0.94217,0.72404,0.94158,0.48797,1.26708,0.0015182,0.0015182,0.0015182
75,579.433,0.77234,0.56876,1.07568,0.92439,0.91176,0.92672,0.70136,0.94884,0.49979,1.27335,0.0015116,0.0015116,0.0015116
76,588.13,0.73946,0.55501,1.07324,0.91419,0.94003,0.95831,0.6965,0.96162,0.52153,1.24213,0.001505,0.001505,0.001505
77,593.962,0.71619,0.55798,1.05625,0.89829,0.90923,0.95409,0.6796,0.99422,0.54392,1.31118,0.0014984,0.0014984,0.0014984
78,601.823,0.79741,0.55983,1.08815,0.8658,0.95588,0.95034,0.71255,0.94313,0.50944,1.26153,0.0014918,0.0014918,0.0014918
79,610.382,0.73232,0.56388,1.06371,0.87114,0.91176,0.94937,0.69404,0.91811,0.54085,1.22815,0.0014852,0.0014852,0.0014852
80,616.061,0.70825,0.5018,1.03091,0.9335,0.88235,0.97377,0.73782,0.85011,0.50922,1.16591,0.0014786,0.0014786,0.0014786
81,625.076,0.70621,0.5197,1.01477,0.95433,0.88235,0.9597,0.71759,0.9142,0.48045,1.22011,0.001472,0.001472,0.001472
82,631.397,0.73212,0.52794,1.04605,0.86421,0.93595,0.95637,0.69876,0.91797,0.5833,1.22466,0.0014654,0.0014654,0.0014654
83,637.298,0.7168,0.50694,1.07099,0.93318,0.91176,0.9532,0.67582,0.95741,0.64031,1.26169,0.0014588,0.0014588,0.0014588
84,647.715,0.74045,0.53439,1.08461,0.90991,0.92647,0.95745,0.7007,1.02037,0.62805,1.27718,0.0014522,0.0014522,0.0014522
85,653.447,0.71014,0.53904,1.05777,0.91308,0.92693,0.97365,0.72784,0.93058,0.58534,1.26357,0.0014456,0.0014456,0.0014456
86,660.355,0.73265,0.51445,1.06196,0.92071,0.89706,0.95987,0.68911,1.00006,0.5877,1.28801,0.001439,0.001439,0.001439
87,668.447,0.70889,0.50689,1.02776,0.88529,0.90798,0.9581,0.68934,0.88982,0.63346,1.17403,0.0014324,0.0014324,0.0014324
88,675.572,0.72165,0.56232,1.0714,0.92303,0.8818,0.94003,0.70024,0.91752,0.61352,1.17544,0.0014258,0.0014258,0.0014258
89,686.39,0.70544,0.56411,1.04623,0.87981,0.97059,0.97111,0.71038,0.95687,0.49876,1.22068,0.0014192,0.0014192,0.0014192
90,692.139,0.75486,0.55256,1.09301,0.89037,0.92647,0.96711,0.72571,0.88244,0.53495,1.20606,0.0014126,0.0014126,0.0014126
91,698.659,0.72307,0.5185,1.06025,0.91032,0.94118,0.9543,0.72449,0.93582,0.46916,1.25094,0.001406,0.001406,0.001406
92,707.67,0.76238,0.57576,1.06552,0.92775,0.95588,0.95285,0.69756,0.95204,0.47146,1.26527,0.0013994,0.0013994,0.0013994
93,715.298,0.73927,0.55374,1.05417,0.88498,0.95588,0.95874,0.71279,0.914,0.49391,1.25814,0.0013928,0.0013928,0.0013928
94,724.22,0.66606,0.52302,1.03114,0.91064,0.94118,0.96585,0.70805,0.90655,0.51223,1.23519,0.0013862,0.0013862,0.0013862
95,730.559,0.70041,0.53342,1.0602,0.94615,0.94118,0.97534,0.73041,0.89236,0.45376,1.22987,0.0013796,0.0013796,0.0013796
96,736.632,0.70509,0.51302,1.05217,0.96671,0.98529,0.99023,0.73663,0.88351,0.4525,1.19292,0.001373,0.001373,0.001373
97,747.536,0.6715,0.51876,1.03616,0.9668,0.95588,0.97889,0.75982,0.85529,0.41906,1.15422,0.0013664,0.0013664,0.0013664
98,753.393,0.65139,0.47148,1.02513,0.95325,0.89953,0.95797,0.75535,0.87363,0.43487,1.18916,0.0013598,0.0013598,0.0013598
99,760.147,0.67245,0.48522,1.02257,0.8885,0.93753,0.94513,0.72786,0.90769,0.51478,1.17684,0.0013532,0.0013532,0.0013532
100,769.041,0.69899,0.49342,1.05875,0.9393,0.9103,0.9318,0.70497,0.90836,0.54919,1.22741,0.0013466,0.0013466,0.0013466
101,774.816,0.63909,0.45622,1.01595,0.98375,0.89706,0.93691,0.6939,0.90495,0.5249,1.22139,0.00134,0.00134,0.00134
102,784.08,0.68161,0.51214,1.05864,0.91274,0.92303,0.93902,0.72993,0.91088,0.53746,1.21036,0.0013334,0.0013334,0.0013334
103,791.151,0.71887,0.50267,1.06817,0.96762,0.87894,0.94793,0.73999,0.82952,0.50676,1.13489,0.0013268,0.0013268,0.0013268
104,796.924,0.6907,0.49023,1.03328,0.95311,0.89672,0.94625,0.72925,0.8388,0.50137,1.14636,0.0013202,0.0013202,0.0013202
105,806.146,0.69345,0.48129,1.04472,0.9,0.92643,0.96826,0.75909,0.83321,0.47693,1.13345,0.0013136,0.0013136,0.0013136
106,812.569,0.67452,0.46565,1.03155,0.97412,0.88235,0.96911,0.76034,0.86128,0.46033,1.19138,0.001307,0.001307,0.001307
107,821.365,0.66737,0.49695,1.02573,0.96918,0.92485,0.96825,0.75751,0.87005,0.45708,1.2212,0.0013004,0.0013004,0.0013004
108,829.422,0.65777,0.51181,1.03081,0.95,0.94118,0.97292,0.71836,0.99839,0.49514,1.35496,0.0012938,0.0012938,0.0012938
109,835.227,0.63463,0.47897,1.0149,1,0.90867,0.97972,0.7401,0.92699,0.46187,1.27561,0.0012872,0.0012872,0.0012872
110,844.06,0.6746,0.50975,1.04016,0.96193,0.91176,0.96904,0.73047,0.94982,0.45954,1.29934,0.0012806,0.0012806,0.0012806
111,852.717,0.63688,0.44859,1.01135,0.95287,0.92647,0.95809,0.73445,0.96058,0.44767,1.32217,0.001274,0.001274,0.001274
112,859.377,0.60018,0.43109,0.98516,0.95444,0.95588,0.97273,0.71682,0.96829,0.46368,1.35791,0.0012674,0.0012674,0.0012674
113,868.147,0.6348,0.48073,1.00518,0.97,0.95098,0.97416,0.73283,0.91901,0.42519,1.28881,0.0012608,0.0012608,0.0012608
114,873.874,0.66644,0.47886,1.02973,0.94188,0.95325,0.96696,0.71226,0.91019,0.45601,1.27837,0.0012542,0.0012542,0.0012542
115,881.946,0.67506,0.45531,1.04996,0.92104,0.94118,0.95237,0.71392,0.91939,0.4739,1.27001,0.0012476,0.0012476,0.0012476
116,890.343,0.63921,0.45731,1.0185,0.91238,0.97059,0.97094,0.74512,0.89621,0.4548,1.25749,0.001241,0.001241,0.001241
117,896.034,0.64538,0.46103,1.02923,0.94095,0.95588,0.9725,0.73636,0.87074,0.45873,1.23686,0.0012344,0.0012344,0.0012344
118,905.79,0.59209,0.44203,1.00447,0.95347,0.97059,0.97292,0.72925,0.87074,0.46248,1.20281,0.0012278,0.0012278,0.0012278
119,911.82,0.64311,0.49167,1.05591,0.90639,0.92647,0.96382,0.71839,0.89484,0.47555,1.24443,0.0012212,0.0012212,0.0012212
120,918.094,0.65599,0.46908,1.00501,0.86767,0.97059,0.96113,0.70864,0.94151,0.48617,1.29896,0.0012146,0.0012146,0.0012146
121,928.779,0.61715,0.47918,0.98573,0.94196,0.95466,0.97003,0.72384,0.94661,0.45467,1.31574,0.001208,0.001208,0.001208
122,934.589,0.62698,0.48916,1.01386,0.98242,0.94118,0.96665,0.71138,0.89932,0.44959,1.30104,0.0012014,0.0012014,0.0012014
123,941.987,0.63873,0.46372,1.0051,0.98427,0.92014,0.95317,0.70228,0.9175,0.45827,1.28973,0.0011948,0.0011948,0.0011948
124,949.85,0.6309,0.45774,1.00718,0.95221,0.94118,0.9589,0.69874,0.93193,0.43352,1.32012,0.0011882,0.0011882,0.0011882
125,957.259,0.6146,0.45658,0.99325,0.96957,0.93716,0.96492,0.70702,0.94905,0.41268,1.29956,0.0011816,0.0011816,0.0011816
126,966.444,0.61683,0.45467,0.99351,0.9398,0.92647,0.96827,0.73093,0.91586,0.44894,1.27477,0.001175,0.001175,0.001175
127,972.345,0.59479,0.43489,0.99598,0.99711,0.88235,0.97847,0.74199,0.86635,0.45168,1.23637,0.0011684,0.0011684,0.0011684
128,979.358,0.62611,0.45364,1.01483,0.95198,0.92647,0.96368,0.72882,0.88376,0.42566,1.22392,0.0011618,0.0011618,0.0011618
129,988.158,0.64396,0.45308,1.01535,0.93917,0.97059,0.96374,0.72069,0.8949,0.41078,1.22735,0.0011552,0.0011552,0.0011552
130,995.949,0.61245,0.42779,0.99924,0.95315,0.95588,0.96617,0.73188,0.87376,0.40137,1.23868,0.0011486,0.0011486,0.0011486
131,1005.51,0.6368,0.45787,1.00408,0.95137,0.92647,0.97019,0.72734,0.87341,0.44059,1.22954,0.001142,0.001142,0.001142
132,1011.39,0.61212,0.43099,0.99944,0.98443,0.92998,0.9854,0.72968,0.88272,0.42591,1.22843,0.0011354,0.0011354,0.0011354
133,1018.09,0.6199,0.43922,0.99574,0.97043,0.96517,0.9816,0.73746,0.88552,0.4414,1.22908,0.0011288,0.0011288,0.0011288
134,1028.34,0.65781,0.46255,1.02251,0.94017,0.92442,0.97192,0.73933,0.85006,0.42579,1.2084,0.0011222,0.0011222,0.0011222
135,1034.13,0.55683,0.43152,0.99948,0.92203,0.94118,0.96921,0.74027,0.84831,0.43748,1.20027,0.0011156,0.0011156,0.0011156
136,1042.15,0.62352,0.45484,1.01826,0.94894,0.92647,0.96505,0.71706,0.93095,0.43712,1.27677,0.001109,0.001109,0.001109
137,1049.6,0.60065,0.45418,0.9839,0.93938,0.92647,0.97284,0.71653,0.93922,0.45399,1.28449,0.0011024,0.0011024,0.0011024
